■ 일별 박스오피스,,,,,,,,,,,,,,,,,,,,,
- 조회일: 2025-09-06,,,,,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2025-08-29~2025-09-05???영화구분: 전체???국적: 한국???지역: 전체 ],,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
●2025년 09월 05일(금),,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,매출액증감,매출액증감율(전일대비) ,누적매출액 ,관객수 ,관객수증감(전일대비) ,관객수증감율(전일대비) ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,(전일대비) ,,,,,,,,,,,,,,,,
30,식사이론,2025-08-20,"68,000",0.0%,"40,000",142.9%,"13,082,000",17,10,142.9%,"3,269",3,3,한국,한국,"주식회사 알바트로스픽처스,데저트블룸픽처스 주식회사",롯데컬처웍스(주)롯데시네마,12세이상관람가,"코미디,판타지,드라마",,홍진기
31,최선의 삶,2021-09-01,"139,000",0.0%,"139,000",100.0%,"101,245,980",16,16,100.0%,"11,743",1,1,한국,한국,"(주)마일스톤컴퍼니,(주)모토",(주)엣나인필름,15세이상관람가,드라마,이우정,"방민아,심달기,한성민,이유경,양흥주,김민재,이민웅,박지성,전필재,김성용,이호원,이보경,장은정,김민재,백재호,홍혜은,황윤희,김하영,정은아,전예지,강솔희,양문정,장만민,이석형,권영찬,조준기,신황철,이미라,길도연,윤걸,이태민,장동규,한세하,김세인,윤진희,고영석,윤혜리,김효신,이진호,김연지,박장순,이홍래,김서현,김소라,이명로,배중재,김영애,정찬길,이승현,이가은,신선우,이희옥,김연준,김희진,심주원,서상우,한세하"
32,제17회 대단한 단편영화제 단편경쟁 4,,"120,000",0.0%,"120,000",100.0%,"120,000",15,15,100.0%,15,1,1,한국,한국,,,,"드라마,애니메이션",,
32,온리 갓 노우즈 에브리띵,2025-08-22,"115,000",0.0%,"-3,324,000",-96.7%,"209,117,420",15,-419,-96.5%,"23,949",5,5,한국,한국,(주)백그림,(주)트리플픽쳐스,15세이상관람가,"미스터리,스릴러",백승환,"신승호,한지은,박명훈,전소민,이중옥,이지현,유성주,신서우,정은경,이재환,유지혁,김일현,유병훈,이병수,송동환,백주환,이창주,남중규,유재명,양권석,이윤화,주상현,배성민,황원규,강해빈"
34,제17회 대단한 단편영화제 단편경쟁 3,,"112,000",0.0%,"112,000",100.0%,"112,000",14,14,100.0%,14,1,1,한국,한국,,,,"드라마,애니메이션,스릴러,멜로/로맨스,공포(호러)",,
35,제17회 대단한 단편영화제 단편경쟁 6,,"104,000",0.0%,"104,000",100.0%,"104,000",13,13,100.0%,13,1,1,한국,한국,,,,"드라마,애니메이션,미스터리,코미디",,
36,봄밤,2025-07-09,"124,000",0.0%,"42,000",51.2%,"77,834,400",12,3,33.3%,"9,052",1,1,한국,한국,월원영화사,(주)시네마달,15세이상관람가,드라마,강미자,"한예리,김설진,김선재,정명원,김승환,오다민"
37,클리어,,"89,000",0.0%,"17,000",23.6%,"161,000",11,3,37.5%,19,2,2,한국,한국,,,,드라마,,
38,변태 여교수의 진짜 성욕,,"50,000",0.0%,"50,000",100.0%,"50,000",10,10,100.0%,10,1,1,한국,한국,,,청소년관람불가,성인물(에로),,
38,제42회 부산국제단편영화제 순회상영회 '찾아가는 부산국제단편영화제'국내수상작,,"95,000",0.0%,"-181,000",-65.6%,"371,000",10,-26,-72.2%,46,1,1,한국,한국,,,,"드라마,애니메이션,다큐멘터리",,
40,아가씨,2016-06-01,"90,000",0.0%,"80,000",800.0%,"35,230,245,891",9,8,800.0%,"4,289,949",1,1,한국,한국,"유한회사 아가씨에프에스,모호필름,(주)용필름",(주)씨제이이엔엠,청소년관람불가,"스릴러,드라마",박찬욱,"김민희,김태리,하정우,조진웅,김해숙,문소리,최병모,김인우,이용녀,조은형,장한순,이규정,이승준,이윤재,김시은,안성봉,박기륭,원근희,정인겸"
41,3일의 휴가,2023-12-06,"56,000",0.0%,"42,000",300.0%,"4,964,377,917",8,6,300.0%,"530,494",1,1,한국,한국,글뫼 주식회사,(주)쇼박스,12세이상관람가,"판타지,드라마",육상효,"김해숙,신민아,강기영,황보라,박명훈"
41,춘희막이,2015-09-30,"26,500",0.0%,"26,500",100.0%,"206,226,465",8,8,100.0%,"29,660",1,1,한국,한국,(주)하이하버픽쳐스,"메가박스중앙(주) 플러스엠 엔터테인먼트,(주)엣나인필름",12세이상관람가,다큐멘터리,박혁지,"김춘희,최막이"
43,스피릿 핑거스! 5화,2025-09-03,"42,000",0.0%,"-28,000",-40.0%,"196,000",6,-4,-40.0%,28,1,1,한국,한국,주식회사 넘버쓰리픽쳐스,주식회사 넘버쓰리픽쳐스,12세이상관람가,"드라마,멜로/로맨스",이철하,"박지후,조준영,최보민,박유나"
43,같은 속옷을 입는 두 여자,2022-11-10,"19,000",0.0%,"19,000",100.0%,"76,864,892",6,6,100.0%,"8,503",1,1,한국,한국,한국영화아카데미,찬란,15세이상관람가,드라마,김세인,"임지호,양말복,정보람,양흥주,이유경,최경준,이양희,권정은,박희은,안수경,문종훈,이우정,이호원,이지은,김하진,김선율,성미경,박성일,신정은,최선웅,최요운,윤태희,장지용,신치영,임동민,오은지,김미영,이은조"
43,스피릿 핑거스! 6화,2025-09-03,"42,000",0.0%,"-28,000",-40.0%,"203,000",6,-4,-40.0%,29,1,1,한국,한국,주식회사 넘버쓰리픽쳐스,주식회사 넘버쓰리픽쳐스,12세이상관람가,"드라마,멜로/로맨스",이철하,"박지후,조준영,최보민,박유나"
43,"그래도, 사랑해.",,"52,000",0.0%,"10,000",23.8%,"99,000",6,1,20.0%,12,1,1,한국,한국,,,,기타,,
47,수연의 선율,2025-08-06,"30,000",0.0%,"-26,500",-46.9%,"49,610,600",4,-10,-71.4%,"5,908",2,2,한국,한국,탄탄픽쳐스,(주)싸이더스,12세이상관람가,"가족,미스터리,스릴러",최종룡,"김보민,최이랑,김현정,진대연,최승원"
48,어른이 되면,2018-12-13,"10,000",0.0%,"10,000",100.0%,"46,299,400",3,3,100.0%,"6,609",1,1,한국,한국,,(주)시네마달,전체관람가,다큐멘터리,장혜영,"장혜정,장혜영,김정우,김진수,유인서,이은경,장혜정"
